item_name,service_line,service_type,service_line_slug,service_type_slug,popularity
Light cover,Electrical,Appliances,electrical,appliances,1
Lovato DPBF1810A 30A 120v AC Definite purpose contactor,Electrical,Appliances,electrical,appliances,1
MC Wires,Electrical,Appliances,electrical,appliances,1
METALLIC WEATHERPROOF JUNCTION BOX,Electrical,Appliances,electrical,appliances,1
Manufacturers Complete menu board kit,Electrical,Appliances,electrical,appliances,1
Material,Electrical,Appliances,electrical,appliances,28
Materials,Electrical,Appliances,electrical,appliances,43
Materials and parts mssing,Electrical,Appliances,electrical,appliances,1
Mc cable,Electrical,Appliances,electrical,appliances,8
Mc connectors,Electrical,Appliances,electrical,appliances,5
Mercury Relay,Electrical,Appliances,electrical,appliances,1
Metallic straps,Electrical,Appliances,electrical,appliances,3
Mis,Electrical,Appliances,electrical,appliances,1
Misc Material,Electrical,Appliances,electrical,appliances,4
Misc electrical parts wire nuts tape etc,Electrical,Appliances,electrical,appliances,1
Misc screws tape wirenuts,Electrical,Appliances,electrical,appliances,1
Misc tape hardware wire nuts. Bracket,Electrical,Appliances,electrical,appliances,1
Misc.,Electrical,Appliances,electrical,appliances,2
"Misc. Tape, Wirenuts, Anchors, Etc.",Electrical,Appliances,electrical,appliances,2
"Miscellaneous Materials (wire nuts, mounting hardware)",Electrical,Appliances,electrical,appliances,1
Miscellaneouss Materials Screws & Anchors,Electrical,Appliances,electrical,appliances,1
"Motor mount, Cable Ties, and fastening hardware",Electrical,Appliances,electrical,appliances,1
Mounting Brackets and Fasteners,Electrical,Appliances,electrical,appliances,1
Mounting Hardware,Electrical,Appliances,electrical,appliances,48
New Outlet,Electrical,Appliances,electrical,appliances,1
PARTS,Electrical,Appliances,electrical,appliances,25
PVC PIPE 2/4,Electrical,Appliances,electrical,appliances,1
PVC PIPE CEMENT,Electrical,Appliances,electrical,appliances,1
"Patterson Fan 30"" High Velocity Drum Fan w/ Yoke Mount, 115V, 12,000 CFM, 1 HP",Electrical,Appliances,electrical,appliances,1
Piping,Electrical,Appliances,electrical,appliances,9
Plantronics power supply,Electrical,Appliances,electrical,appliances,1
Plumbing Connections,Electrical,Appliances,electrical,appliances,1
Port hookup coupler and cable,Electrical,Appliances,electrical,appliances,1
"Power Cord, Wire Nuts / Connectors, Electrical Tape",Electrical,Appliances,electrical,appliances,1
Power Drops,Electrical,Appliances,electrical,appliances,1
Power cell,Electrical,Appliances,electrical,appliances,1
Power cord,Electrical,Appliances,electrical,appliances,3
Pressure switch,Electrical,Appliances,electrical,appliances,1
Pro-Twist #8 x 1 in. Phillips Pan-Head Self-Drilling Screws (1 lb. Pack),Electrical,Appliances,electrical,appliances,11
Progress Lighting 2-Light Brushed Nickel Spotlight Fixture,Electrical,Appliances,electrical,appliances,3
Push switch.,Electrical,Appliances,electrical,appliances,1
Quoted job,Electrical,Appliances,electrical,appliances,10
RACO Electrical Box: Steel w/ Cover,Electrical,Appliances,electrical,appliances,2
Receiver drive up bell,Electrical,Appliances,electrical,appliances,1
Receptacle Replugs,Electrical,Appliances,electrical,appliances,1
Regular HelperHours Difference,Electrical,Appliances,electrical,appliances,1
Repairs,Electrical,Appliances,electrical,appliances,5
Rust remover and sand paper,Electrical,Appliances,electrical,appliances,1
Rustoleum paint,Electrical,Appliances,electrical,appliances,2
S/0 cable,Electrical,Appliances,electrical,appliances,1
S/0 connectors,Electrical,Appliances,electrical,appliances,1
"Safety power juction box with connectors ,waterproof for freezer",Electrical,Appliances,electrical,appliances,1
Saftey bits,Electrical,Appliances,electrical,appliances,1
School bell,Electrical,Appliances,electrical,appliances,1
"Screw,pin and bolt set",Electrical,Appliances,electrical,appliances,1
Screws,Electrical,Appliances,electrical,appliances,49
Sensors,Electrical,Appliances,electrical,appliances,3
Shutter Mounted Exhaust Fan,Electrical,Appliances,electrical,appliances,1
Southwire (By-the-Foot) 2 Black Stranded CU SIMpull THHN Wire,Electrical,Appliances,electrical,appliances,1
Southwire 100 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,Electrical,Appliances,electrical,appliances,2
Southwire 100 ft. 12/2 Gray Solid CU UF-B W/G Wire,Electrical,Appliances,electrical,appliances,2
Southwire 250 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,Electrical,Appliances,electrical,appliances,9
Spindle Mounting Bracket with Screws,Electrical,Appliances,electrical,appliances,1
Square D 3 Pole 60amp breaker,Electrical,Appliances,electrical,appliances,1
Square D Homeline 40 Amp 2-Pole Circuit Breaker(HOM240CP),Electrical,Appliances,electrical,appliances,1
Square D QO 30 Amp 2-Pole Circuit Breaker(QO230CP),Electrical,Appliances,electrical,appliances,5
Superslick,Electrical,Appliances,electrical,appliances,1
TAYMAC N3R Extra Duty Polycarbonate Gray 1-Gang Expandable Weatherproof In-Use Electrical Outlet Cover for Outdoor Outlet,Electrical,Appliances,electrical,appliances,3
TR. switch,Electrical,Appliances,electrical,appliances,1
TV Mount,Electrical,Appliances,electrical,appliances,2
Tap screws,Electrical,Appliances,electrical,appliances,5
Termination Materials & Connectors,Electrical,Appliances,electrical,appliances,1
Thermostat,Electrical,Appliances,electrical,appliances,4
Total,Electrical,Appliances,electrical,appliances,36
Transformer,Electrical,Appliances,electrical,appliances,9
Troubleshot dryer circuit,Electrical,Appliances,electrical,appliances,1
"Twister ProFLEX, Wire Connector + Electrical Tape",Electrical,Appliances,electrical,appliances,1
Unbranded 50 ft. 12 Gauge White Stranded Copper THHN Wire,Electrical,Appliances,electrical,appliances,5
Vacuum,Electrical,Appliances,electrical,appliances,8
WD 40,Electrical,Appliances,electrical,appliances,2
WEATHERPROFF IN USE COVER,Electrical,Appliances,electrical,appliances,1
WELLS T STAT AND PROBE,Electrical,Appliances,electrical,appliances,1
WELLS T STAT KNOB,Electrical,Appliances,electrical,appliances,1
Water Heater Heating Element,Electrical,Appliances,electrical,appliances,3
Wire & Cable,Electrical,Appliances,electrical,appliances,1
Wire 14/3 commercial grade 50 ft,Electrical,Appliances,electrical,appliances,1
Wire coduit /outlet,Electrical,Appliances,electrical,appliances,1
Wire connector and jointer clip,Electrical,Appliances,electrical,appliances,1
Wire connectors,Electrical,Appliances,electrical,appliances,9
"Wire, Conduits, and fittings",Electrical,Appliances,electrical,appliances,1
Wireless door chime,Electrical,Appliances,electrical,appliances,1
Wires and connectors,Electrical,Appliances,electrical,appliances,10
Wiring,Electrical,Appliances,electrical,appliances,21
Wiring 10 awg Green,Electrical,Appliances,electrical,appliances,4
Wiring 10 awg Red,Electrical,Appliances,electrical,appliances,3
Wiring 10 awg White,Electrical,Appliances,electrical,appliances,4
Wiring 10 awg black,Electrical,Appliances,electrical,appliances,3
Working on site,Electrical,Appliances,electrical,appliances,1
Xelarator XL GR,Electrical,Appliances,electrical,appliances,1
awg wire,Electrical,Appliances,electrical,appliances,3
b,Electrical,Appliances,electrical,appliances,5
bathroom extractors,Electrical,Appliances,electrical,appliances,1
belt dressing,Electrical,Appliances,electrical,appliances,1
box,Electrical,Appliances,electrical,appliances,3
cleaning solution,Electrical,Appliances,electrical,appliances,12
cleanup & testing,Electrical,Appliances,electrical,appliances,1
coil cleaner,Electrical,Appliances,electrical,appliances,2
controller board,Electrical,Appliances,electrical,appliances,1
copper pipe,Electrical,Appliances,electrical,appliances,12
couplings,Electrical,Appliances,electrical,appliances,11
doorbell and cover,Electrical,Appliances,electrical,appliances,1
electrical wire & connectors,Electrical,Appliances,electrical,appliances,1
f,Electrical,Appliances,electrical,appliances,11
g,Electrical,Appliances,electrical,appliances,10
hardware,Electrical,Appliances,electrical,appliances,41
inv total,Electrical,Appliances,electrical,appliances,1
lab - 1,Electrical,Appliances,electrical,appliances,2
lbr,Electrical,Appliances,electrical,appliances,8
minimum labadjust,Electrical,Appliances,electrical,appliances,1
out door momentary conatact 120vrated switch,Electrical,Appliances,electrical,appliances,1
"pvc pipe fitting ,connector ,elbows mis supplies",Electrical,Appliances,electrical,appliances,1
relay,Electrical,Appliances,electrical,appliances,6
sealant,Electrical,Appliances,electrical,appliances,39
self tapping screws,Electrical,Appliances,electrical,appliances,17
special order hand dryer,Electrical,Appliances,electrical,appliances,1
t,Electrical,Appliances,electrical,appliances,3
tap cons,Electrical,Appliances,electrical,appliances,4
terminate power to electrical outlet,Electrical,Appliances,electrical,appliances,1
trouble shooting door bell,Electrical,Appliances,electrical,appliances,1
turbo air LED084BZK led light,Electrical,Appliances,electrical,appliances,1
wire,Electrical,Appliances,electrical,appliances,28
wire connectors and disonnects,Electrical,Appliances,electrical,appliances,1
wires,Electrical,Appliances,electrical,appliances,12
zip ties,Electrical,Appliances,electrical,appliances,11
2 labo,Electrical,Ballast,electrical,ballast,1
Boom Lift-Over 30',Electrical,Ballast,electrical,ballast,18
Bulbs,Electrical,Ballast,electrical,ballast,9
Elctrical Tracer (Commercial High Voltage),Electrical,Ballast,electrical,ballast,1
Led drivers,Electrical,Ballast,electrical,ballast,4
Voltage meter,Electrical,Ballast,electrical,ballast,4
$570 Proposal Rate,Electrical,Ballast,electrical,ballast,1
110-Watt (F96T12/HO) 1 or 2 Lamp T12 120/277V 8 ft. HO Rapid Start Electronic Fluorescent Repl. Ballast,Electrical,Ballast,electrical,ballast,1
120v-277v electronic replacement ballast,Electrical,Ballast,electrical,ballast,1
16 gauge wire,Electrical,Ballast,electrical,ballast,2
17W LED A-19 lamp,Electrical,Ballast,electrical,ballast,1
1900 box,Electrical,Ballast,electrical,ballast,2
2 bulb t8 ballast,Electrical,Ballast,electrical,ballast,1
2 lamp ballast,Electrical,Ballast,electrical,ballast,3
2 lamp electronic ballast,Electrical,Ballast,electrical,ballast,1
20 amp breaker,Electrical,Ballast,electrical,ballast,9
25 ft. 12/3 Black/White/Green Solid CU THHN Tri-Wire,Electrical,Ballast,electrical,ballast,2
277-120 balast,Electrical,Ballast,electrical,ballast,1
277v t8 4bulb ballast,Electrical,Ballast,electrical,ballast,1
27w satco bulbs,Electrical,Ballast,electrical,ballast,1
"4 Ft, Direct Drive Fixtures",Electrical,Ballast,electrical,ballast,1
"4 Ft, LED Lamps",Electrical,Ballast,electrical,ballast,1
4 bulb ballast,Electrical,Ballast,electrical,ballast,2
4 lamp Ballasts,Electrical,Ballast,electrical,ballast,1
4 lamp T8 Ballasts,Electrical,Ballast,electrical,ballast,1
4 pin lamp fixture,Electrical,Ballast,electrical,ballast,1
4lamp 32w ballasts,Electrical,Ballast,electrical,ballast,1
4lamp ballast 277v,Electrical,Ballast,electrical,ballast,1
4lamp ballasts 277v,Electrical,Ballast,electrical,ballast,1
"500W LED Stadium Flood Light Outdoor, 2750W Equivalent, 40000LM Super Bright Exterior Security Light, IP66 Waterproof, 6000K Daylight White",Electrical,Ballast,electrical,ballast,1
7 lamp holders shunted,Electrical,Ballast,electrical,ballast,1
8 4ft led fixtures,Electrical,Ballast,electrical,ballast,1
ADA transformer,Electrical,Ballast,electrical,ballast,1
"AMAX LIGHTING 120-Volt 11 in. Electronic Ballast 2-F17T8,2-F20T8,2-F25T8,2-F30T10,2-F32T8,2-F34T8,2-F40T10,2-F40T12 Lamps",Electrical,Ballast,electrical,ballast,2
AMAX LIGHTING 120-Volt 4.13 in. Electronic Ballast 1 Lamp FC8T9/T5,Electrical,Ballast,electrical,ballast,2
AMAX LIGHTING 120-Volt 5.13 in. Electronic Ballast 2-PLC 18-Watt Lamps,Electrical,Ballast,electrical,ballast,1
AMAX LIGHTING 120-Volt 5.13 in. Electronic Ballast 2-PLC 26-Watt Lamps,Electrical,Ballast,electrical,ballast,3
AMAX LIGHTING 120-Volt 6.63 in. Electronic Ballast 2-PL 13-Watt Lamps,Electrical,Ballast,electrical,ballast,3
Adopters and flat led lights,Electrical,Ballast,electrical,ballast,1
Agreed Amount,Electrical,Ballast,electrical,ballast,3
Agreed Rate,Electrical,Ballast,electrical,ballast,22
Agreed upon price,Electrical,Ballast,electrical,ballast,1
AlumiConn 3-Port Al/Cu Wire Connectors (10-Pack),Electrical,Ballast,electrical,ballast,1
Assessment and wiring.,Electrical,Ballast,electrical,ballast,1
BALLAST-MAIN FLOOR,Electrical,Ballast,electrical,ballast,1
BALLAST-WOMEMS RR,Electrical,Ballast,electrical,ballast,1
BALLASTS QHE4x32 UNV 120-277,Electrical,Ballast,electrical,ballast,1
BATTERY PACK-LARGE,Electrical,Ballast,electrical,ballast,1
BATTERY PACK-SMALL,Electrical,Ballast,electrical,ballast,1
BLUE WIRE NUTS,Electrical,Ballast,electrical,ballast,3
BLUE WIRENUTS,Electrical,Ballast,electrical,ballast,1
Ballast,Electrical,Ballast,electrical,ballast,10
Ballast 277v t8,Electrical,Ballast,electrical,ballast,1
Ballast 39w,Electrical,Ballast,electrical,ballast,1
Ballast gx24q-3,Electrical,Ballast,electrical,ballast,1
Ballast installation,Electrical,Ballast,electrical,ballast,1
Ballast replace,Electrical,Ballast,electrical,ballast,1
Ballast t8 4 bulb,Electrical,Ballast,electrical,ballast,1
Ballast transformer,Electrical,Ballast,electrical,ballast,1
Ballasts,Electrical,Ballast,electrical,ballast,4
Ballasts 32w,Electrical,Ballast,electrical,ballast,1
Ballasts 8,Electrical,Ballast,electrical,ballast,1
Balllast x2,Electrical,Ballast,electrical,ballast,1
Bla k junction. Box 4 in,Electrical,Ballast,electrical,ballast,1
CFL ballast,Electrical,Ballast,electrical,ballast,3
CUMC 250',Electrical,Ballast,electrical,ballast,2
Can light ballast,Electrical,Ballast,electrical,ballast,1
"Commercial Electric Standard Wire Connector, Assortment (30-Pack)",Electrical,Ballast,electrical,ballast,7
Complete light fixture 4 pin,Electrical,Ballast,electrical,ballast,1
Conduit,Electrical,Ballast,electrical,ballast,16
Contactor casing,Electrical,Ballast,electrical,ballast,1
Contactors,Electrical,Ballast,electrical,ballast,5
"Defiant 270° Replacement Sensor, White",Electrical,Ballast,electrical,ballast,1
Dressing room led lamp,Electrical,Ballast,electrical,ballast,1
Elco Lighting 6 Cedar System Remodel Housing w/Driver,Electrical,Ballast,electrical,ballast,1
Electrical & Misc.,Electrical,Ballast,electrical,ballast,6
"Electrical (wirenuts, tape, spades)",Electrical,Ballast,electrical,ballast,1
Electrical Connectors,Electrical,Ballast,electrical,ballast,8
Electrical Tape Black & Red,Electrical,Ballast,electrical,ballast,4
Electrical Wire,Electrical,Ballast,electrical,ballast,5
Electrical and Misc.,Electrical,Ballast,electrical,ballast,8
Electrical wirenuts/tape,Electrical,Ballast,electrical,ballast,3
Electronic Ballast 42W,Electrical,Ballast,electrical,ballast,1
Electronic ballast,Electrical,Ballast,electrical,ballast,3
Electronic ballast 4 lamps,Electrical,Ballast,electrical,ballast,1
"Electronic ballast for 2×32W T8 lamps (F32T8), 4 ft, 120–277V, high power factor",Electrical,Ballast,electrical,ballast,1
"Electronic ballast for 2×36W PLL lamps, 2G11 base, 120–277V, programmed start",Electrical,Ballast,electrical,ballast,1
Exit sign,Electrical,Ballast,electrical,ballast,9
Exit sign fixture 277v,Electrical,Ballast,electrical,ballast,1
F28 T5 ballast,Electrical,Ballast,electrical,ballast,1
F32 T8 41K HLEC BULB,Electrical,Ballast,electrical,ballast,1
Feit Linear PL GX24Q-3 4-Pin LED Bulb Bright White 32 Watt Equivalence,Electrical,Ballast,electrical,ballast,1
Fixture fitting /w.caps,Electrical,Ballast,electrical,ballast,1
Fluorescent light,Electrical,Ballast,electrical,ballast,1
Fluorescent sockets,Electrical,Ballast,electrical,ballast,1
Fulham 128-Watt 120-Volt Fluorescent Replacement Electronic Ballast,Electrical,Ballast,electrical,ballast,3
"Fuses, wires and wire nuts",Electrical,Ballast,electrical,ballast,1
GE 2 LAMPS F32 T8 ELECTRONIC BALLAST,Electrical,Ballast,electrical,ballast,2
GE 4 LAMPS F32 T8 ELECTRONIC BALLAST,Electrical,Ballast,electrical,ballast,2
GE 4 LAMPS F32 T8 HIGH PERFORMING ELECTRONIC BALLAST,Electrical,Ballast,electrical,ballast,1
GE 432 MAXH/ULTRA,Electrical,Ballast,electrical,ballast,1
GE Magnetric contactor,Electrical,Ballast,electrical,ballast,1
GE lighting magnetic contactor,Electrical,Ballast,electrical,ballast,1
GX24q-5Base - 41000 - sku: FC57-146332,Electrical,Ballast,electrical,ballast,1
H E L P E R,Electrical,Ballast,electrical,ballast,9
HID 100 watt ballast,Electrical,Ballast,electrical,ballast,1
